1587144772.38; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144773.63; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144774.88; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144776.26; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144777.51; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144778.74; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144779.95; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144781.74; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144783.01; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144784.28; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144785.51; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144786.72; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144787.96; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144789.19; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144790.53; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144791.77; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144793.02; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144794.27; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144795.6; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144796.86; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144798.1; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144799.32; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144800.55; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144801.81; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144803.06; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144804.3; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144805.55; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
